"language","frequency","word","translation"
"Albanian",1,"të","of"
"Albanian",2,"e","and"
"Albanian",3,"në","at"
"Albanian",4,"do","do"
"Albanian",5,"nuk","not"
"Albanian",6,"i","of"
"Albanian",7,"është","it's"
"Albanian",8,"më","more"
"Albanian",9,"po","yes"
"Albanian",10,"dhe","and"
"Albanian",11,"që","that"
"Albanian",12,"një","a"
"Albanian",13,"për","for"
"Albanian",14,"me","at"
"Albanian",15,"se","that"
"Albanian",16,"te","to"
"Albanian",17,"ta","to"
"Albanian",18,"jo","not"
"Albanian",19,"unë","I"
"Albanian",20,"ti","you"
"Albanian",21,"ka","there is"
"Albanian",22,"mund","can"
"Albanian",23,"mirë","good"
"Albanian",24,"ju","you"
"Albanian",25,"ne","we"
"Albanian",26,"nga","by"
"Albanian",27,"çfarë","what"
"Albanian",28,"si","as"
"Albanian",29,"duhet","must"
"Albanian",30,"kjo","this"
"Albanian",31,"kam","have"
"Albanian",32,"ai","he"
"Albanian",33,"por","but"
"Albanian",34,"këtë","this"
"Albanian",35,"shumë","many"
"Albanian",36,"jam","be"
"Albanian",37,"di","know"
"Albanian",38,"këtu","here"
"Albanian",39,"je","not"
"Albanian",40,"u","was"
"Albanian",41,"ke","You"
"Albanian",42,"mos","not"
"Albanian",43,"tani","now"
"Albanian",44,"ishte","was"
"Albanian",45,"a","or"
"Albanian",46,"atë","it"
"Albanian",47,"ajo","it"
"Albanian",48,"ku","where"
"Albanian",49,"nëse","if"
"Albanian",50,"vetëm","only"
"Albanian",51,"kur","when"
"Albanian",52,"dua","love"
"Albanian",53,"ata","they"
"Albanian",54,"janë","are"
"Albanian",55,"mua","me"
"Albanian",56,"rregull","rule"
"Albanian",57,"edhe","also"
"Albanian",58,"sa","as"
"Albanian",59,"na","us"
"Albanian",60,"eshte","is"
"Albanian",61,"kemi","have"
"Albanian",62,"gjithë","all"
"Albanian",63,"ty","thee"
"Albanian",64,"pse","why"
"Albanian",65,"duke","by"
"Albanian",66,"nje","A"
"Albanian",67,"qe","to"
"Albanian",68,"per","per"
"Albanian",69,"tij","his"
"Albanian",70,"ky","this"
"Albanian",71,"apo","or"
"Albanian",72,"pak","little"
"Albanian",73,"jemi","are"
"Albanian",74,"keq","bad"
"Albanian",75,"oh","oh"
"Albanian",76,"gjë","thing"
"Albanian",77,"kush","who"
"Albanian",78,"parë","First"
"Albanian",79,"faleminderit","Thanks"
"Albanian",80,"im","my"
"Albanian",81,"bëj","do"
"Albanian",82,"lutem","please"
"Albanian",83,"jeni","are"
"Albanian",84,"dy","two"
"Albanian",85,"diçka","something"
"Albanian",86,"keni","have"
"Albanian",87,"vjen","comes"
"Albanian",88,"kështu","so"
"Albanian",89,"jetë","life"
"Albanian",90,"tjetër","other"
"Albanian",91,"mendoj","think"
"Albanian",92,"atje","there"
"Albanian",93,"para","before"
"Albanian",94,"bërë","made"
"Albanian",95,"së","at"
"Albanian",96,"sepse","because"
"Albanian",97,"pra","thus"
"Albanian",98,"tek","to"
"Albanian",99,"them","say"
"Albanian",100,"tă","Remember"
"Albanian",101,"kanë","have"
"Albanian",102,"pa","without"
"Albanian",103,"time","my"
"Albanian",104,"bën","makes"
"Albanian",105,"hej","hey"
"Albanian",106,"ja","here"
"Albanian",107,"ime","my"
"Albanian",108,"une","I"
"Albanian",109,"duket","it seems"
"Albanian",110,"ndoshta","maybe"
"Albanian",111,"ndonjë","any"
"Albanian",112,"shiko","look"
"Albanian",113,"bukur","beautifully"
"Albanian",114,"pas","after"
"Albanian",115,"asgjë","nothing"
"Albanian",116,"eja","come"
"Albanian",117,"gjitha","All"
"Albanian",118,"tim","my"
"Albanian",119,"disa","some"
"Albanian",120,"kohë","time"
"Albanian",121,"shkojmë","go"
"Albanian",122,"vërtetë","Indeed"
"Albanian",123,"zot","god"
"Albanian",124,"zotëri","gentleman"
"Albanian",125,"këto","these"
"Albanian",126,"çka","what"
"Albanian",127,"ma","me"
"Albanian",128,"tuaj","your"
"Albanian",129,"njeri","man"
"Albanian",130,"prit","wait"
"Albanian",131,"kishte","had"
"Albanian",132,"kurrë","never"
"Albanian",133,"çdo","each"
"Albanian",134,"mendon","thinks"
"Albanian",135,"dreqin","hell"
"Albanian",136,"ato","those"
"Albanian",137,"mire","good"
"Albanian",138,"ashtu","so"
"Albanian",139,"ose","or"
"Albanian",140,"tyre","their"
"Albanian",141,"atëherë","then"
"Albanian",142,"tënde","Your"
"Albanian",143,"kaq","so"
"Albanian",144,"qenë","been"
"Albanian",145,"saj","its"
"Albanian",146,"ia","it"
"Albanian",147,"shkoj","go"
"Albanian",148,"aty","there"
"Albanian",149,"deri","to"
"Albanian",150,"prej","by"
"Albanian",151,"jashtë","out"
"Albanian",152,"hajde","Come"
"Albanian",153,"isha","I was"
"Albanian",154,"thotë","says"
"Albanian",155,"shtëpi","home"
"Albanian",156,"vdekur","dead"
"Albanian",157,"marrë","take"
"Albanian",158,"thjesht","simply"
"Albanian",159,"gati","about"
"Albanian",160,"le","let"
"Albanian",161,"gjithçka","everything"
"Albanian",162,"as","nor"
"Albanian",163,"tha","said"
"Albanian",164,"kete","this"
"Albanian",165,"sikur","like"
"Albanian",166,"kisha","I"
"Albanian",167,"bëjmë","do"
"Albanian",168,"vërtet","indeed"
"Albanian",169,"fundit","Last"
"Albanian",170,"pastaj","then"
"Albanian",171,"punë","work"
"Albanian",172,"yt","your"
"Albanian",173,"aq","so"
"Albanian",174,"cfare","what"
"Albanian",175,"brenda","within"
"Albanian",176,"ditë","day"
"Albanian",177,"jote","thy"
"Albanian",178,"vend","country"
"Albanian",179,"zoti","Mr."
"Albanian",180,"dreq","heck"
"Albanian",181,"epo","epo"
"Albanian",182,"z","Mr."
"Albanian",183,"herë","time"
"Albanian",184,"shoh","see"
"Albanian",185,"shko","Go"
"Albanian",186,"juaj","your"
"Albanian",187,"dikush","someone"
"Albanian",188,"marr","pick up"
"Albanian",189,"akoma","more"
"Albanian",190,"tënd","your"
"Albanian",191,"shpejt","quickly"
"Albanian",192,"sot","today"
"Albanian",193,"përse","why"
"Albanian",194,"bësh","Doing"
"Albanian",195,"asnjë","none"
"Albanian",196,"besoj","believe"
"Albanian",197,"sigurisht","certainly"
"Albanian",198,"fal","forgive"
"Albanian",199,"ketu","here"
"Albanian",200,"jep","give"
"Albanian",201,"shume","more"
"Albanian",202,"ndodh","happen"
"Albanian",203,"ate","it"
"Albanian",204,"tu","to"
"Albanian",205,"njerëz","people"
"Albanian",206,"mjaft","enough"
"Albanian",207,"nevojë","need"
"Albanian",208,"poshtë","down"
"Albanian",209,"madh","great"
"Albanian",210,"njerëzit","people"
"Albanian",211,"ok","ok"
"Albanian",212,"drejtë","right"
"Albanian",213,"pëlqen","like"
"Albanian",214,"gjithmonë","always"
"Albanian",215,"dashur","dear"
"Albanian",216,"ende","yet"
"Albanian",217,"o","o"
"Albanian",218,"shkon","runs"
"Albanian",219,"doja","like"
"Albanian",220,"tre","three"
"Albanian",221,"fund","end"
"Albanian",222,"merr","take"
"Albanian",223,"tonë","our"
"Albanian",224,"mi","mi"
"Albanian",225,"madhe","great"
"Albanian",226,"veten","themselves"
"Albanian",227,"vogël","small"
"Albanian",228,"thuaj","Say"
"Albanian",229,"gjatë","during"
"Albanian",230,"thashë","I"
"Albanian",231,"mbi","on"
"Albanian",232,"jesh","Being"
"Albanian",233,"sigurt","safe"
"Albanian",234,"the","the"
"Albanian",235,"gjëra","stuff"
"Albanian",236,"thua","claw"
"Albanian",237,"re","cloud"
"Albanian",238,"thënë","said"
"Albanian",239,"askush","none"
"Albanian",240,"ndodhi","event"
"Albanian",241,"jepi","give"
"Albanian",242,"babai","father"
"Albanian",243,"ishin","were"
"Albanian",244,"babi","Daddy"
"Albanian",245,"problem","problem"
"Albanian",246,"zemër","heart"
"Albanian",247,"shoku","shock"
"Albanian",248,"falni","Excuse"
"Albanian",249,"djema","guys"
"Albanian",250,"ardhur","come"
"Albanian",251,"kujdes","care"
"Albanian",252,"vetem","only"
"Albanian",253,"dini","know"
"Albanian",254,"sapo","just"
"Albanian",255,"përsëri","again"
"Albanian",256,"vonë","late"
"Albanian",257,"ketë","This"
"Albanian",258,"bëhet","becomes"
"Albanian",259,"kuptoj","understand"
"Albanian",260,"mia","My"
"Albanian",261,"jem","I"
"Albanian",262,"thuash","say"
"Albanian",263,"bëni","do"
"Albanian",264,"fare","at all"
"Albanian",265,"jetën","life"
"Albanian",266,"ishe","were"
"Albanian",267,"koha","time"
"Albanian",268,"bëjë","do"
"Albanian",269,"mundem","I can"
"Albanian",270,"rreth","around"
"Albanian",271,"ri","new"
"Albanian",272,"dëgjo","Hear"
"Albanian",273,"vjet","year"
"Albanian",274,"doni","want"
"Albanian",275,"cili","which"
"Albanian",276,"flas","talk"
"Albanian",277,"vajza","girls"
"Albanian",278,"mënyrë","way"
"Albanian",279,"pasur","rich"
"Albanian",280,"fëmijë","children"
"Albanian",281,"dëshiron","wants"
"Albanian",282,"larg","away"
"Albanian",283,"jane","are"
"Albanian",284,"fat","luck"
"Albanian",285,"sonte","tonight"
"Albanian",286,"gjej","find"
"Albanian",287,"www","www"
"Albanian",288,"nese","if"
"Albanian",289,"tua","Your"
"Albanian",290,"mendova","I thought"
"Albanian",291,"gjërat","things"
"Albanian",292,"r","r"
"Albanian",293,"vetë","itself"
"Albanian",294,"puna","work"
"Albanian",295,"ca","some"
"Albanian",296,"ndonjëherë","sometimes"
"Albanian",297,"nă","us"
"Albanian",298,"kësaj","this"
"Albanian",299,"minuta","minutes"
"Albanian",300,"këta","these"
"Albanian",301,"shikon","watches"
"Albanian",302,"flet","about"
"Albanian",303,"përshëndetje","hello"
"Albanian",304,"rri","stay"
"Albanian",305,"djalë","boy"
"Albanian",306,"lart","above"
"Albanian",307,"baba","dad"
"Albanian",308,"mend","mind"
"Albanian",309,"kupton","understands"
"Albanian",310,"ikim","go"
"Albanian",311,"paratë","money"
"Albanian",312,"mami","midwife"
"Albanian",313,"jap","give"
"Albanian",314,"kishe","church"
"Albanian",315,"humbur","lost"
"Albanian",316,"vajzë","girl"
"Albanian",317,"mik","friend"
"Albanian",318,"shikoni","check"
"Albanian",319,"ik","get away"
"Albanian",320,"ndihmë","help"
"Albanian",321,"kaluar","past"
"Albanian",322,"djali","boy"
"Albanian",323,"n","n"
"Albanian",324,"duart","hands"
"Albanian",325,"s","s"
"Albanian",326,"duhej","should"
"Albanian",327,"përpara","before"
"Albanian",328,"dija","I knew"
"Albanian",329,"siç","as"
"Albanian",330,"nesër","tomorrow"
"Albanian",331,"mbrapa","back"
"Albanian",332,"sigurtë","safe"
"Albanian",333,"gje","thing"
"Albanian",334,"shkoni","go"
"Albanian",335,"ben","ben"
"Albanian",336,"orë","hour"
"Albanian",337,"natën","at night"
"Albanian",338,"gjithashtu","also"
"Albanian",339,"gjetur","found"
"Albanian",340,"gjallë","alive"
"Albanian",341,"gjithe","All"
"Albanian",342,"këtej","here"
"Albanian",343,"vështirë","hard"
"Albanian",344,"erdhi","came"
"Albanian",345,"ndodhur","Situated"
"Albanian",346,"emrin","name"
"Albanian",347,"kesh","cash"
"Albanian",348,"shikoj","watch"
"Albanian",349,"bëjnë","do"
"Albanian",350,"mbaj","keep"
"Albanian",351,"vrarë","killed"
"Albanian",352,"dot","dot"
"Albanian",353,"shkuar","go"
"Albanian",354,"atij","him"
"Albanian",355,"tregoj","show"
"Albanian",356,"flasim","talk"
"Albanian",357,"pyetje","question"
"Albanian",358,"mori","host"
"Albanian",359,"keqe","bad"
"Albanian",360,"tona","our"
"Albanian",361,"drejt","to"
"Albanian",362,"qă","qa"
"Albanian",363,"mă","me"
"Albanian",364,"bëre","done"
"Albanian",365,"plako","man"
"Albanian",366,"shpresoj","hope"
"Albanian",367,"bashkë","together"
"Albanian",368,"lëviz","move"
"Albanian",369,"frikë","fear"
"Albanian",370,"bëri","made"
"Albanian",371,"ndihmoj","help"
"Albanian",372,"kthehem","return"
"Albanian",373,"dëgjuar","listen"
"Albanian",374,"bëra","made"
"Albanian",375,"tillë","Such"
"Albanian",376,"ndalo","Stop"
"Albanian",377,"pjesë","part"
"Albanian",378,"shkosh","go"
"Albanian",379,"cila","which"
"Albanian",380,"menjëherë","immediately"
"Albanian",381,"merre","Take"
"Albanian",382,"njeriu","man"
"Albanian",383,"punën","work"
"Albanian",384,"shihemi","see"
"Albanian",385,"vij","come"
"Albanian",386,"burrë","man"
"Albanian",387,"shtă","stature"
"Albanian",388,"dikë","someone"
"Albanian",389,"ejani","Come"
"Albanian",390,"sytë","eyes"
"Albanian",391,"vdes","die"
"Albanian",392,"nën","under"
"Albanian",393,"gabim","error"
"Albanian",394,"lidhje","link"
"Albanian",395,"merrni","get"
"Albanian",396,"shohim","see"
"Albanian",397,"vete","self"
"Albanian",398,"vendin","country"
"Albanian",399,"duan","love"
"Albanian",400,"fjalë","word"
"Albanian",401,"menduar","thought"
"Albanian",402,"bëje","do"
"Albanian",403,"vras","kill"
"Albanian",404,"dreqi","Dang"
"Albanian",405,"çmendur","crazy"
"Albanian",406,"ej","heigh"
"Albanian",407,"mes","middle"
"Albanian",408,"dicka","something"
"Albanian",409,"njoh","know"
"Albanian",410,"mundësi","opportunity"
"Albanian",411,"fortë","strong"
"Albanian",412,"derisa","until"
"Albanian",413,"tjera","Other"
"Albanian",414,"vjetër","old"
"Albanian",415,"rrugë","street"
"Albanian",416,"fakt","fact"
"Albanian",417,"asaj","her"
"Albanian",418,"vesh","ear"
"Albanian",419,"meje","me"
"Albanian",420,"pesë","five"
"Albanian",421,"mira","good"
"Albanian",422,"kërkoj","ask"
"Albanian",423,"pashë","I saw"
"Albanian",424,"mendoni","think"
"Albanian",425,"makinë","car"
"Albanian",426,"bir","son"
"Albanian",427,"dakord","agreed"
"Albanian",428,"mban","hold"
"Albanian",429,"prandaj","therefore"
"Albanian",430,"farë","seed"
"Albanian",431,"fëmijët","children"
"Albanian",432,"sy","eye"
"Albanian",433,"afër","close"
"Albanian",434,"kthehu","Return"
"Albanian",435,"ndodhë","happen"
"Albanian",436,"armë","gun"
"Albanian",437,"pasi","after"
"Albanian",438,"lë","leave"
"Albanian",439,"thonë","say"
"Albanian",440,"hë","huh"
"Albanian",441,"ide","idea"
"Albanian",442,"net","nights"
"Albanian",443,"t","t"
"Albanian",444,"zonja","Mrs."
"Albanian",445,"mundur","possible"
"Albanian",446,"grua","woman"
"Albanian",447,"dashuri","love"
"Albanian",448,"kohe","time"
"Albanian",449,"lumtur","happy"
"Albanian",450,"kërkon","requires"
"Albanian",451,"kujtohet","remember"
"Albanian",452,"lehtë","easily"
"Albanian",453,"dollarë","dollars"
"Albanian",454,"thoni","Tell"
"Albanian",455,"muaj","month"
"Albanian",456,"tuaja","your"
"Albanian",457,"bej","bey"
"Albanian",458,"mendoja","I thought"
"Albanian",459,"titrashqip","titrashqip"
"Albanian",460,"prapa","back"
"Albanian",461,"vijë","line"
"Albanian",462,"jete","life"
"Albanian",463,"pare","first"
"Albanian",464,"marrim","we"
"Albanian",465,"jeta","life"
"Albanian",466,"tepër","too"
"Albanian",467,"zotit","Mr."
"Albanian",468,"din","know"
"Albanian",469,"vazhdo","Next"
"Albanian",470,"emri","name"
"Albanian",471,"lloj","type"
"Albanian",472,"jonë","our"
"Albanian",473,"prisni","wait"
"Albanian",474,"mundesh","you can"
"Albanian",475,"dukesh","look"
"Albanian",476,"shtëpinë","home"
"Albanian",477,"gruaja","wife"
"Albanian",478,"cfarë","what"
"Albanian",479,"atyre","them"
"Albanian",480,"m","m"
"Albanian",481,"jenë","be"
"Albanian",482,"pres","wait"
"Albanian",483,"mëngjes","morning"
"Albanian",484,"vijnë","come"
"Albanian",485,"dr","Dr."
"Albanian",486,"sheh","see"
"Albanian",487,"bëja","do"
"Albanian",488,"kundër","against"
"Albanian",489,"mbase","perhaps"
"Albanian",490,"botë","world"
"Albanian",491,"katër","four"
"Albanian",492,"dorë","hand"
"Albanian",493,"dakort","agree"
"Albanian",494,"donte","like"
"Albanian",495,"qoftë","whether"
"Albanian",496,"lër","Let"
"Albanian",497,"tërë","all"
"Albanian",498,"bere","made"
"Albanian",499,"marrësh","take"
"Albanian",500,"qytet","city"
"Albanian",501,"tjeter","other"
"Albanian",502,"shpejtë","fast"
"Albanian",503,"qetësohu","relax"
"Albanian",504,"njă","about"
"Albanian",505,"arsye","reason"
"Albanian",506,"ulu","Sit"
"Albanian",507,"tamam","exactly"
"Albanian",508,"vish","come"
"Albanian",509,"tash","now"
"Albanian",510,"kem","I"
"Albanian",511,"punon","works"
"Albanian",512,"pari","First"
"Albanian",513,"rëndësi","importance"
"Albanian",514,"shikoje","see"
"Albanian",515,"tjerët","Others"
"Albanian",516,"shtëpia","home"
"Albanian",517,"ynë","our"
"Albanian",518,"lënë","leave"
"Albanian",519,"kapiten","captain"
"Albanian",520,"qënë","been"
"Albanian",521,"vëlla","brother"
"Albanian",522,"gjejmë","find"
"Albanian",523,"cdo","each"
"Albanian",524,"njeh","recognizes"
"Albanian",525,"vite","years"
"Albanian",526,"mbaje","hold"
"Albanian",527,"javë","week"
"Albanian",528,"teje","you"
"Albanian",529,"ec","c"
"Albanian",530,"zgjuar","smart"
"Albanian",531,"dal","get out"
"Albanian",532,"fjalën","word"
"Albanian",533,"vendi","country"
"Albanian",534,"dalë","out"
"Albanian",535,"thjeshtë","simple"
"Albanian",536,"ha","eat"
"Albanian",537,"ditën","by day"
"Albanian",538,"lirë","cheap"
"Albanian",539,"duhen","be"
"Albanian",540,"shkojë","go"
"Albanian",541,"lartë","top"
"Albanian",542,"ishim","were"
"Albanian",543,"qetë","quietly"
"Albanian",544,"vdiq","died"
"Albanian",545,"duam","love"
"Albanian",546,"budalla","fool"
"Albanian",547,"kokën","head"
"Albanian",548,"rrugën","way"
"Albanian",549,"shpirt","spirit"
"Albanian",550,"idiot","idiot"
"Albanian",551,"mora","I"
"Albanian",552,"tashmë","already"
"Albanian",553,"dimë","know"
"Albanian",554,"kuptova","found"
"Albanian",555,"dhënë","given"
"Albanian",556,"lëre","cut it out"
"Albanian",557,"folur","spoken"
"Albanian",558,"diku","somewhere"
"Albanian",559,"cilën","which"
"Albanian",560,"gjeta","found"
"Albanian",561,"dil","Come"
"Albanian",562,"djalosh","guy"
"Albanian",563,"l","l"
"Albanian",564,"problemi","problem"
"Albanian",565,"kane","have"
"Albanian",566,"shkak","cause"
"Albanian",567,"hap","step"
"Albanian",568,"hapur","open"
"Albanian",569,"njëri","each"
"Albanian",570,"trego","Show"
"Albanian",571,"mirupafshim","bye"
"Albanian",572,"dëgjoj","listen"
"Albanian",573,"keshtu","so"
"Albanian",574,"ana","the"
"Albanian",575,"doktor","doctor"
"Albanian",576,"in","in."
"Albanian",577,"dëgjon","Hearing"
"Albanian",578,"kthehet","return"
"Albanian",579,"pune","working"
"Albanian",580,"or","or"
"Albanian",581,"saktë","correct"
"Albanian",582,"patjetër","certainly"
"Albanian",583,"intereson","care"
"Albanian",584,"zonjë","lady"
"Albanian",585,"gjak","blood"
"Albanian",586,"burg","prison"
"Albanian",587,"juve","you"
"Albanian",588,"ndryshe","otherwise"
"Albanian",589,"makina","cars"
"Albanian",590,"kishin","had"
"Albanian",591,"ndaj","on"
"Albanian",592,"seriozisht","seriously"
"Albanian",593,"iki","go"
"Albanian",594,"mamaja","mother"
"Albanian",595,"la","la"
"Albanian",596,"eshtë","It"
"Albanian",597,"natë","night"
"Albanian",598,"djalin","son"
"Albanian",599,"vë","put"
"Albanian",600,"znj","Mrs."
"Albanian",601,"ë","s"
"Albanian",602,"ndal","stop"
"Albanian",603,"tung","hello"
"Albanian",604,"nëpër","through"
"Albanian",605,"njohur","known"
"Albanian",606,"jetës","life"
"Albanian",607,"beson","believes"
"Albanian",608,"ndonje","any"
"Albanian",609,"iu","to"
"Albanian",610,"bë","became"
"Albanian",611,"shkoi","went"
"Albanian",612,"hape","pill"
"Albanian",613,"dëgjoni","listen"
"Albanian",614,"sjell","bring"
"Albanian",615,"shum","more"
"Albanian",616,"kthehemi","back"
"Albanian",617,"ndërsa","while"
"Albanian",618,"nesh","us"
"Albanian",619,"vetmja","only"
"Albanian",620,"gjëja","thing"
"Albanian",621,"ra","fell"
"Albanian",622,"qëndro","Stay"
"Albanian",623,"kohën","time"
"Albanian",624,"qepe","oniony"
"Albanian",625,"gëzuar","Happy"
"Albanian",626,"pret","expects"
"Albanian",627,"rruga","way"
"Albanian",628,"vajzën","daughter"
"Albanian",629,"mu","slap"
"Albanian",630,"dalim","go"
"Albanian",631,"rëndësishme","important"
"Albanian",632,"tokë","ground"
"Albanian",633,"moment","moment"
"Albanian",634,"derën","door"
"Albanian",635,"mrekullueshme","wonderful"
"Albanian",636,"kthyer","return"
"Albanian",637,"qartë","clear"
"Albanian",638,"alo","hello"
"Albanian",639,"largohu","go away"
"Albanian",640,"ujë","water"
"Albanian",641,"siguri","security"
"Albanian",642,"miku","friend"
"Albanian",643,"çuditshme","strange"
"Albanian",644,"erdha","I came"
"Albanian",645,"shef","chief"
"Albanian",646,"more","more"
"Albanian",647,"telefon","phone"
"Albanian",648,"minutë","minute"
"Albanian",649,"tanë","our"
"Albanian",650,"pyes","ask"
"Albanian",651,"probleme","problems"
"Albanian",652,"njerëzve","people"
"Albanian",653,"dish","Knowing"
"Albanian",654,"shpejti","Soon"
"Albanian",655,"dinë","know"
"Albanian",656,"bie","fall"
"Albanian",657,"erdhe","come"
"Albanian",658,"kishim","had"
"Albanian",659,"sërish","again"
"Albanian",660,"dita","day"
"Albanian",661,"gjashtë","six"
"Albanian",662,"kërkuar","required"
"Albanian",663,"it","s"
"Albanian",664,"burri","husband"
"Albanian",665,"policia","police"
"Albanian",666,"ah","beech"
"Albanian",667,"here","here"
"Albanian",668,"sh","sh"
"Albanian",669,"emër","name"
"Albanian",670,"histori","story"
"Albanian",671,"jack","Jack"
"Albanian",672,"kë","whom"
"Albanian",673,"zoteri","Mr."
"Albanian",674,"ora","pm"
"Albanian",675,"tjerë","other"
"Albanian",676,"xhon","John"
"Albanian",677,"dytë","second"
"Albanian",678,"kalon","passes"
"Albanian",679,"zënë","occupy"
"Albanian",680,"fillim","beginning"
"Albanian",681,"tende","your"
"Albanian",682,"gabuar","wrong"
"Albanian",683,"rast","case"
"Albanian",684,"këtij","this"
"Albanian",685,"zjarr","fire"
"Albanian",686,"dhomën","room"
"Albanian",687,"mallkuar","Cursed"
"Albanian",688,"del","out"
"Albanian",689,"shaka","joke"
"Albanian",690,"makinën","car"
"Albanian",691,"milion","million"
"Albanian",692,"gruan","wife"
"Albanian",693,"botën","world"
"Albanian",694,"forca","strength"
"Albanian",695,"gëzohem","rejoice"
"Albanian",696,"gjithsesi","anyhow"
"Albanian",697,"bënte","do"
"Albanian",698,"asgje","nothing"
"Albanian",699,"gjeni","genius"
"Albanian",700,"mbaruar","finished"
"Albanian",701,"mbylle","close"
"Albanian",702,"sipas","by"
"Albanian",703,"jepni","give"
"Albanian",704,"dorën","hand"
"Albanian",705,"kokë","head"
"Albanian",706,"titrimi","titling"
"Albanian",707,"bashku","together"
"Albanian",708,"zotërinj","Gentlemen"
"Albanian",709,"bota","world"
"Albanian",710,"shohësh","see"
"Albanian",711,"vit","year"
"Albanian",712,"ndihmo","Help"
"Albanian",713,"prapë","again"
"Albanian",714,"shkojnë","go"
"Albanian",715,"vertet","really"
"Albanian",716,"diqka","something"
"Albanian",717,"vendos","set"
"Albanian",718,"doje","love"
"Albanian",719,"pije","drink"
"Albanian",720,"cilin","whom"
"Albanian",721,"gojën","mouth"
"Albanian",722,"sime","my"
"Albanian",723,"quhet","called"
"Albanian",724,"bënë","made"
"Albanian",725,"presim","wait"
"Albanian",726,"ore","hours"
"Albanian",727,"marrin","take"
"Albanian",728,"ikur","escape"
"Albanian",729,"pe","thread"
"Albanian",730,"gjithëve","everyone"
"Albanian",731,"pi","drink"
"Albanian",732,"don","don"
"Albanian",733,"fol","talk"
"Albanian",734,"uh","whoops"
"Albanian",735,"familje","family"
"Albanian",736,"shkojme","go"
"Albanian",737,"nëna","mother"
"Albanian",738,"vetmi","solitude"
"Albanian",739,"sjellë","bring"
"Albanian",740,"vendosur","decided"
"Albanian",741,"neve","us"
"Albanian",742,"mundet","possibly"
"Albanian",743,"vdekje","death"
"Albanian",744,"polic","cop"
"Albanian",745,"botës","world"
"Albanian",746,"fillojmë","start"
"Albanian",747,"keto","these"
"Albanian",748,"duhur","right"
"Albanian",749,"kan","have"
"Albanian",750,"betohem","swear"
"Albanian",751,"qen","dog"
"Albanian",752,"armën","weapon"
"Albanian",753,"nder","honor"
"Albanian",754,"gjesh","find"
"Albanian",755,"paktën","least"
"Albanian",756,"dije","lore"
"Albanian",757,"përveç","except"
"Albanian",758,"jashte","out"
"Albanian",759,"fantastike","Fantastic"
"Albanian",760,"babait","father"
"Albanian",761,"vetme","single"
"Albanian",762,"mrekulli","miracle"
"Albanian",763,"dha","given"
"Albanian",764,"vënë","put"
"Albanian",765,"erë","wind"
"Albanian",766,"duash","love"
"Albanian",767,"punuar","working"
"Albanian",768,"luftë","war"
"Albanian",769,"familjen","family"
"Albanian",770,"filluar","Beginning"
"Albanian",771,"tjetrin","other"
"Albanian",772,"vet","own"
"Albanian",773,"lëvizni","move"
"Albanian",774,"ki","ki"
"Albanian",775,"mbyllur","closed"
"Albanian",776,"premtoj","promise"
"Albanian",777,"punoj","work"
"Albanian",778,"rrugës","en route"
"Albanian",779,"kape","Got"
"Albanian",780,"vëllai","brother"
"Albanian",781,"këmbë","foot"
"Albanian",782,"mbetur","remaining"
"Albanian",783,"mendjen","mind"
"Albanian",784,"vrasin","kill"
"Albanian",785,"ngadalë","slowly"
"Albanian",786,"mundemi","can"
"Albanian",787,"mbaroi","finished"
"Albanian",788,"tipi","type"
"Albanian",789,"treguar","show"
"Albanian",790,"fundi","Finally"
"Albanian",791,"tmerrshme","terrible"
"Albanian",792,"vini","Welcome"
"Albanian",793,"lojë","game"
"Albanian",794,"ua","them"
"Albanian",795,"vajzat","girls"
"Albanian",796,"përktheu","translated"
"Albanian",797,"dite","day"
"Albanian",798,"mësuar","learn"
"Albanian",799,"lini","Suffer"
"Albanian",800,"dhomë","room"
"Albanian",801,"pritur","expected"
